shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.607985741376,-96.3458561209354,11,1560.94
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.619504488677,-96.3467881886237,28,7550.57
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6025663377384,-96.3582251285449,34,6123.93
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6197861206404,-96.3563717220051,14,2990.41
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.616472251205,-96.3477242796257,26,4471
764b2b11-004d-4943-bf06-88b4d67e463b,30.6058319274087,-96.3497439831343,19,4053.33
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6113505727858,-96.3472589163338,3,733.03
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6065078441207,-96.3469826487889,10,1468.26
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6132026382209,-96.3417322243292,0,0
65da8aba-5a77-44d3-baab-11695d619ef3,30.612520015986,-96.3251910403485,6,1522.1
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6158821651866,-96.3433884884947,2,401.81
fa49fc04-98c3-464a-b6d0-da4808def83c,30.6215590609049,-96.3156504223138,4,1247.49
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.642110147602,-96.331813414801,44,15025.53
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.614362693689,-96.3514257282868,17,3756.51
fa49fc04-98c3-464a-b6d0-da4808def83c,30.613364911876,-96.338765700982,13,4405.36
764b2b11-004d-4943-bf06-88b4d67e463b,30.6049065652434,-96.3473997323155,21,4391.94
f8931a03-3bc9-4168-98a6-63fe30d60a2f,30.6080715720696,-96.3456200865281,17,2698.28
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6083397929871,-96.3461685983043,7,1177.29
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6550571712886,-96.3366360268972,23,7663.65
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6375410042728,-96.3197287213641,14,4617.92
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6351270160155,-96.3546832713296,21,5477.03
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6098539000662,-96.3469062058274,5,968.24
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6137243279054,-96.34143718132,0,0
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6113197273802,-96.3471328525026,53,9084.81
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6248179450523,-96.3525281162577,31,6419.85
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6615668929557,-96.357759765253,37,11325.01
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6248809769679,-96.3524852009109,10,1985.52
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6138249107495,-96.3437063302819,21,3268.99
764b2b11-004d-4943-bf06-88b4d67e463b,30.6083022420586,-96.346140435108,18,3612.73
8d09d153-f475-4f7b-b815-d041ee32d285,30.6173117826767,-96.335252006963,37,7368.01
3b608e2a-6753-4bbe-ab22-edf3d3dda9fe,30.6117274231748,-96.349556228492,18,4099.61
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.61357948861,-96.3413258696393,1,110.7
8d09d153-f475-4f7b-b815-d041ee32d285,30.6198344004056,-96.3380616210736,33,6769.04
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6245135143109,-96.3308867115311,58,18450.69
8d09d153-f475-4f7b-b815-d041ee32d285,30.615942514893,-96.3433589841937,29,6099.05
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6180265914218,-96.3457997945428,6,1309.33
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6131852038613,-96.3446893599444,2,413.74
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6057353678784,-96.3474359421394,11,1564.42
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6173117826767,-96.3448476102857,7,1430.16
fa49fc04-98c3-464a-b6d0-da4808def83c,30.6205760312424,-96.3206312847514,7,1912.31
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6377327822288,-96.3277740077838,17,5415.92
fa49fc04-98c3-464a-b6d0-da4808def83c,30.6134695180338,-96.3383848272791,11,4361.4
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6251478567808,-96.3567633245446,29,5818.97
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6126071877841,-96.3438109364397,66,21299.92
65da8aba-5a77-44d3-baab-11695d619ef3,30.614791847157,-96.327877272837,7,1882.27
f5ecdce1-597b-4c87-b15d-29fc5377f08b,30.6190860640458,-96.3446249869242,25,4056.03
764b2b11-004d-4943-bf06-88b4d67e463b,30.6168544660124,-96.342519452722,7,1494.76
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6163689861517,-96.343101492113,3,462.47
01a8fe84-5758-4cea-b642-41f6534cd8ac,30.6005050599876,-96.3520962805806,39,7154.55
d7ea0482-eb9d-459f-b0d7-c875592dabed,30.6248179450523,-96.3525281162577,26,6744.31
fbfc6382-05c4-429c-9837-e0e3c37adaa9,30.6202434373047,-96.3435333277901,60,20158.46
