100, 120, 13-11-10 12:17:00, 13-11-10 12:25:00, 22
120, 180, 13-11-10 13:00:00, 13-11-10 13:07:00, 22
180, 96, 13-11-10 13:07:00, 13-11-10 13:13:00, 22
96, 100, 13-11-10 13:13:00, 13-11-10 13:17:00, 22
100, 120, 13-11-10 13:17:00, 13-11-10 13:25:00, 22
120, 180, 13-11-10 14:00:00, 13-11-10 14:07:00, 22
180, 96, 13-11-10 14:07:00, 13-11-10 14:13:00, 22
96, 100, 13-11-10 14:13:00, 13-11-10 14:17:00, 22
100, 120, 13-11-10 14:17:00, 13-11-10 14:25:00, 22
120, 180, 13-11-10 15:00:00, 13-11-10 15:07:00, 22
180, 96, 13-11-10 15:07:00, 13-11-10 15:13:00, 22
96, 100, 13-11-10 15:13:00, 13-11-10 15:17:00, 22
100, 120, 13-11-10 15:17:00, 13-11-10 15:25:00, 22
120, 180, 13-11-10 16:00:00, 13-11-10 16:07:00, 22
180, 96, 13-11-10 16:07:00, 13-11-10 16:13:00, 22
96, 100, 13-11-10 16:13:00, 13-11-10 16:17:00, 22
100, 120, 13-11-10 16:17:00, 13-11-10 16:25:00, 22
120, 180, 13-11-10 17:00:00, 13-11-10 17:07:00, 22
180, 96, 13-11-10 17:07:00, 13-11-10 17:13:00, 22
96, 100, 13-11-10 17:13:00, 13-11-10 17:17:00, 22
100, 120, 13-11-10 17:17:00, 13-11-10 17:25:00, 22
120, 134, 13-11-10 09:00:00, 13-11-10 09:07:00, 26
134, 140, 13-11-10 09:07:00, 13-11-10 09:12:00, 26
140, 101, 13-11-10 09:12:00, 13-11-10 09:17:00, 26
101, 94, 13-11-10 09:17:00, 13-11-10 09:19:00, 26
94, 120, 13-11-10 09:19:00, 13-11-10 09:25:00, 26
120, 134, 13-11-10 10:00:00, 13-11-10 10:07:00, 26
134, 140, 13-11-10 10:07:00, 13-11-10 10:12:00, 26
140, 101, 13-11-10 10:12:00, 13-11-10 10:17:00, 26
101, 94, 13-11-10 10:17:00, 13-11-10 10:19:00, 26
94, 120, 13-11-10 10:19:00, 13-11-10 10:25:00, 26
120, 134, 13-11-10 11:00:00, 13-11-10 11:07:00, 26
134, 140, 13-11-10 11:07:00, 13-11-10 11:12:00, 26
140, 101, 13-11-10 11:12:00, 13-11-10 11:17:00, 26
101, 94, 13-11-10 11:17:00, 13-11-10 11:19:00, 26
94, 120, 13-11-10 11:19:00, 13-11-10 11:25:00, 26
120, 134, 13-11-10 12:00:00, 13-11-10 12:07:00, 26
134, 140, 13-11-10 12:07:00, 13-11-10 12:12:00, 26
140, 101, 13-11-10 12:12:00, 13-11-10 12:17:00, 26
101, 94, 13-11-10 12:17:00, 13-11-10 12:19:00, 26
94, 120, 13-11-10 12:19:00, 13-11-10 12:25:00, 26
120, 134, 13-11-10 13:00:00, 13-11-10 13:07:00, 26
134, 140, 13-11-10 13:07:00, 13-11-10 13:12:00, 26
140, 101, 13-11-10 13:12:00, 13-11-10 13:17:00, 26
101, 94, 13-11-10 13:17:00, 13-11-10 13:19:00, 26
94, 120, 13-11-10 13:19:00, 13-11-10 13:25:00, 26
120, 134, 13-11-10 14:00:00, 13-11-10 14:07:00, 26
134, 140, 13-11-10 14:07:00, 13-11-10 14:12:00, 26
140, 101, 13-11-10 14:12:00, 13-11-10 14:17:00, 26
101, 94, 13-11-10 14:17:00, 13-11-10 14:19:00, 26
94, 120, 13-11-10 14:19:00, 13-11-10 14:25:00, 26
120, 134, 13-11-10 15:00:00, 13-11-10 15:07:00, 26
134, 140, 13-11-10 15:07:00, 13-11-10 15:12:00, 26
140, 101, 13-11-10 15:12:00, 13-11-10 15:17:00, 26
101, 94, 13-11-10 15:17:00, 13-11-10 15:19:00, 26
94, 120, 13-11-10 15:19:00, 13-11-10 15:25:00, 26
120, 134, 13-11-10 16:00:00, 13-11-10 16:07:00, 26
134, 140, 13-11-10 16:07:00, 13-11-10 16:12:00, 26
140, 101, 13-11-10 16:12:00, 13-11-10 16:17:00, 26
101, 94, 13-11-10 16:17:00, 13-11-10 16:19:00, 26
94, 120, 13-11-10 16:19:00, 13-11-10 16:25:00, 26
120, 134, 13-11-10 17:00:00, 13-11-10 17:07:00, 26
134, 140, 13-11-10 17:07:00, 13-11-10 17:12:00, 26
140, 101, 13-11-10 17:12:00, 13-11-10 17:17:00, 26
101, 94, 13-11-10 17:17:00, 13-11-10 17:19:00, 26
94, 120, 13-11-10 17:19:00, 13-11-10 17:25:00, 26
120, 156, 13-11-10 09:30:00, 13-11-10 09:40:00, 27
156, 91, 13-11-10 09:40:00, 13-11-10 09:45:00, 27
91, 93, 13-11-10 09:45:00, 13-11-10 09:48:00, 27
93, 120, 13-11-10 09:48:00, 13-11-10 09:55:00, 27
120, 156, 13-11-10 10:30:00, 13-11-10 10:40:00, 27
156, 91, 13-11-10 10:40:00, 13-11-10 10:45:00, 27
91, 93, 13-11-10 10:45:00, 13-11-10 10:48:00, 27
93, 120, 13-11-10 10:48:00, 13-11-10 10:55:00, 27
120, 156, 13-11-10 11:30:00, 13-11-10 11:40:00, 27
156, 91, 13-11-10 11:40:00, 13-11-10 11:45:00, 27
91, 93, 13-11-10 11:45:00, 13-11-10 11:48:00, 27
93, 120, 13-11-10 11:48:00, 13-11-10 11:55:00, 27
120, 156, 13-11-10 12:30:00, 13-11-10 12:40:00, 27
156, 91, 13-11-10 12:40:00, 13-11-10 12:45:00, 27
91, 93, 13-11-10 12:45:00, 13-11-10 12:48:00, 27
93, 120, 13-11-10 12:48:00, 13-11-10 12:55:00, 27
120, 156, 13-11-10 13:30:00, 13-11-10 13:40:00, 27
156, 91, 13-11-10 13:40:00, 13-11-10 13:45:00, 27
91, 93, 13-11-10 13:45:00, 13-11-10 13:48:00, 27
93, 120, 13-11-10 13:48:00, 13-11-10 13:55:00, 27
120, 156, 13-11-10 14:30:00, 13-11-10 14:40:00, 27
156, 91, 13-11-10 14:40:00, 13-11-10 14:45:00, 27
91, 93, 13-11-10 14:45:00, 13-11-10 14:48:00, 27
93, 120, 13-11-10 14:48:00, 13-11-10 14:55:00, 27
120, 156, 13-11-10 15:30:00, 13-11-10 15:40:00, 27
156, 91, 13-11-10 15:40:00, 13-11-10 15:45:00, 27
91, 93, 13-11-10 15:45:00, 13-11-10 15:48:00, 27
93, 120, 13-11-10 15:48:00, 13-11-10 15:55:00, 27
